serie,datos,faltantes_en_rango,desde,hasta,ultimo_valor
Dolar A3500,6012,1960,2002-03-04,2026-09-14,1510.3215
Reservas internacionales,6556,1963,2000-01-03,2026-09-10,50506.0
Tasa BADLAR,6509,2010,2000-01-03,2026-09-11,21.4375
Tasa TAMAR,469,246,2024-10-01,2026-09-11,23.4375
UVA,3821,0,2016-03-31,2026-09-15,2120.3
IPC mensual,320,8179,2000-01-31,2026-08-31,1.7
IPC interanual,320,8179,2000-01-31,2026-08-31,33.5
Dolar BNA comprador,5735,0,2011-01-03,2026-09-15,1480.0
Dolar BNA vendedor,5735,0,2011-01-03,2026-09-15,1530.0
Bitcoin USD,5508,0,2011-08-18,2026-09-15,76860.275
Trigo $/t,3666,4095,2003-01-02,2026-09-14,344655.0
Trigo US$/t,17,9,2026-08-21,2026-09-14,230.0
Maiz $/t,4559,3202,2003-01-02,2026-09-14,295200.0
Maiz US$/t,17,9,2026-08-21,2026-09-14,197.0
Girasol $/t,2427,5334,2003-01-02,2026-08-10,743250.0
Girasol US$/t,0,0,,,
Soja $/t,5146,2615,2003-01-02,2026-09-14,555000.0
Soja US$/t,17,9,2026-08-21,2026-09-14,370.37
Sorgo $/t,2878,4883,2003-01-02,2026-09-14,275700.0
Sorgo US$/t,15,11,2026-08-21,2026-09-14,183.98
Dolar BNA divisa comprador,17,9,2026-08-21,2026-09-14,1498.5
Banda inferior,520,0,2025-04-14,2026-09-15,732.0094302469306
Banda superior,520,0,2025-04-14,2026-09-15,1899.5629237140447
