fecha,Trigo $/t,Trigo US$/t,Maiz $/t,Maiz US$/t,Girasol $/t,Girasol US$/t,Soja $/t,Soja US$/t,Sorgo $/t,Sorgo US$/t,Dolar BNA divisa comprador
2026-08-21,335250.0,225.0,266710.0,179.0,,,521500.0,350.0,278630.0,187.0,1490.0
2026-08-24,337725.0,225.0,270180.0,180.0,,,525000.0,349.77,277685.0,185.0,1501.0
2026-08-25,338100.0,225.02,269000.0,179.03,,,530000.0,352.75,277962.0,185.0,1502.5
2026-08-26,343000.0,227.91,270500.0,179.73,,,540000.0,358.8,276900.0,183.99,1505.0
2026-08-27,356200.0,236.99,270500.0,179.97,,,540000.0,359.28,275000.0,182.97,1503.0
2026-08-28,357714.0,238.0,271300.0,180.51,,,550000.0,365.93,273546.0,182.0,1503.0
2026-08-31,352000.0,234.74,270700.0,180.53,,,550000.0,366.79,272500.0,181.73,1499.5
2026-09-01,357200.0,237.5,282000.0,187.5,,,560000.0,372.34,272500.0,181.18,1504.0
2026-09-02,356700.0,237.48,285380.0,190.0,,,564000.0,375.5,272600.0,181.49,1502.0
2026-09-03,350000.0,233.49,285560.0,190.5,,,560000.0,373.58,277300.0,184.99,1499.0
2026-09-04,350000.0,233.49,289000.0,192.8,,,560000.0,373.58,,,1499.0
2026-09-07,346000.0,230.28,293000.0,195.01,,,560000.0,372.71,,,1502.5
2026-09-08,345700.0,230.01,293100.0,195.01,,,556000.0,369.93,275000.0,182.97,1503.0
2026-09-09,346700.0,230.44,293400.0,195.01,,,555000.0,368.89,275300.0,182.98,1504.5
2026-09-10,341400.0,226.99,299000.0,198.8,,,560000.0,372.34,276700.0,183.98,1504.0
2026-09-11,340000.0,226.74,299000.0,199.4,,,555000.0,370.12,275900.0,183.99,1499.5
2026-09-14,344655.0,230.0,295200.0,197.0,,,555000.0,370.37,275700.0,183.98,1498.5
2026-09-15,335400.0,223.97,295000.0,196.99,,,558000.0,372.62,280000.0,186.98,1497.5
2026-09-16,343000.0,227.98,295000.0,196.08,,,558000.0,370.89,283000.0,188.1,1504.5
2026-09-17,345000.0,229.85,294200.0,196.0,,,,,285000.0,189.87,1501.0
2026-09-18,346250.0,229.99,295100.0,196.01,,,,,286000.0,189.97,1505.5
