fecha_corrida,fuente,detalle
2026-08-25,Pizarra historica 2003,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2003-01-01&hasta=2003-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2003-01-01&hasta=2003-12-31&puerto=
2026-08-25,Pizarra historica 2004,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2004-01-01&hasta=2004-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2004-01-01&hasta=2004-12-31&puerto=
2026-08-25,Pizarra historica 2005,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2005-01-01&hasta=2005-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2005-01-01&hasta=2005-12-31&puerto=
2026-08-25,Pizarra historica 2006,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2006-01-01&hasta=2006-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2006-01-01&hasta=2006-12-31&puerto=
2026-08-25,Pizarra historica 2007,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2007-01-01&hasta=2007-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2007-01-01&hasta=2007-12-31&puerto=
2026-08-25,Pizarra historica 2008,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2008-01-01&hasta=2008-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2008-01-01&hasta=2008-12-31&puerto=
2026-08-25,Pizarra historica 2009,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2009-01-01&hasta=2009-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2009-01-01&hasta=2009-12-31&puerto=
2026-08-25,Pizarra historica 2010,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2010-01-01&hasta=2010-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2010-01-01&hasta=2010-12-31&puerto=
2026-08-25,Pizarra historica 2011,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2011-01-01&hasta=2011-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2011-01-01&hasta=2011-12-31&puerto=
2026-08-25,Pizarra historica 2012,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2012-01-01&hasta=2012-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2012-01-01&hasta=2012-12-31&puerto=
2026-08-25,Pizarra historica 2013,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2013-01-01&hasta=2013-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2013-01-01&hasta=2013-12-31&puerto=
2026-08-25,Pizarra historica 2014,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2014-01-01&hasta=2014-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2014-01-01&hasta=2014-12-31&puerto=
2026-08-25,Pizarra historica 2015,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2015-01-01&hasta=2015-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2015-01-01&hasta=2015-12-31&puerto=
2026-08-25,Pizarra historica 2016,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2016-01-01&hasta=2016-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2016-01-01&hasta=2016-12-31&puerto=
2026-08-25,Pizarra historica 2017,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2017-01-01&hasta=2017-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2017-01-01&hasta=2017-12-31&puerto=
2026-08-25,Pizarra historica 2018,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2018-01-01&hasta=2018-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2018-01-01&hasta=2018-12-31&puerto=
2026-08-25,Pizarra historica 2019,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2019-01-01&hasta=2019-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2019-01-01&hasta=2019-12-31&puerto=
2026-08-25,Pizarra historica 2020,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2020-01-01&hasta=2020-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2020-01-01&hasta=2020-12-31&puerto=
2026-08-25,Pizarra historica 2021,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2021-01-01&hasta=2021-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2021-01-01&hasta=2021-12-31&puerto=
2026-08-25,Pizarra historica 2022,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2022-01-01&hasta=2022-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2022-01-01&hasta=2022-12-31&puerto=
2026-08-25,Pizarra historica 2023,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2023-01-01&hasta=2023-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2023-01-01&hasta=2023-12-31&puerto=
2026-08-25,Pizarra historica 2024,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2024-01-01&hasta=2024-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2024-01-01&hasta=2024-12-31&puerto=
2026-08-25,Pizarra historica 2025,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2025-01-01&hasta=2025-12-31&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2025-01-01&hasta=2025-12-31&puerto=
2026-08-25,Pizarra historica 2026,https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2026-01-01&hasta=2026-08-25&puerto= -> 403 Client Error: Forbidden for url: https://www.bolsadecereales.com/admin/reportes/reportes_csv.php?reporte=camara&desde=2026-01-01&hasta=2026-08-25&puerto=
2026-08-25,Pizarra historica,sin datos
