fecha,Dolar A3500,Reservas internacionales,Tasa BADLAR,Tasa TAMAR,UVA,IPC mensual,IPC interanual,Dolar BNA comprador,Dolar BNA vendedor,Bitcoin USD,Trigo $/t,Trigo US$/t,Maiz $/t,Maiz US$/t,Girasol $/t,Girasol US$/t,Soja $/t,Soja US$/t,Sorgo $/t,Sorgo US$/t,Dolar BNA divisa comprador,Banda inferior,Banda superior
2000-01-03,,33070.000000,9.625000,,,,,,,,,,,,,,,,,,,,
2000-01-04,,33075.000000,8.687500,,,,,,,,,,,,,,,,,,,,
2000-01-05,,32657.000000,8.437500,,,,,,,,,,,,,,,,,,,,
2000-01-06,,32537.000000,7.625000,,,,,,,,,,,,,,,,,,,,
2000-01-07,,32126.000000,7.312500,,,,,,,,,,,,,,,,,,,,
2000-01-10,,32098.000000,7.437500,,,,,,,,,,,,,,,,,,,,
2000-01-11,,32190.000000,7.437500,,,,,,,,,,,,,,,,,,,,
2000-01-12,,32326.000000,7.625000,,,,,,,,,,,,,,,,,,,,
2000-01-13,,32199.000000,8.375000,,,,,,,,,,,,,,,,,,,,
2000-01-14,,32073.000000,8.125000,,,,,,,,,,,,,,,,,,,,
2000-01-17,,32017.000000,7.937500,,,,,,,,,,,,,,,,,,,,
2000-01-18,,31891.000000,8.125000,,,,,,,,,,,,,,,,,,,,
2000-01-19,,31899.000000,8.062500,,,,,,,,,,,,,,,,,,,,
2000-01-20,,31974.000000,8.062500,,,,,,,,,,,,,,,,,,,,
2000-01-21,,31782.000000,8.062500,,,,,,,,,,,,,,,,,,,,
2000-01-24,,31661.000000,8.062500,,,,,,,,,,,,,,,,,,,,
2000-01-25,,31829.000000,8.312500,,,,,,,,,,,,,,,,,,,,
2000-01-26,,32478.000000,8.375000,,,,,,,,,,,,,,,,,,,,
2000-01-27,,32508.000000,8.375000,,,,,,,,,,,,,,,,,,,,
2000-01-28,,32365.000000,8.562500,,,,,,,,,,,,,,,,,,,,
2000-01-31,,31100.000000,8.750000,,,0.800000,-1.400000,,,,,,,,,,,,,,,,
2000-02-01,,32762.000000,8.812500,,,,,,,,,,,,,,,,,,,,
2000-02-02,,32432.000000,8.812500,,,,,,,,,,,,,,,,,,,,
2000-02-03,,33436.000000,8.937500,,,,,,,,,,,,,,,,,,,,
2000-02-04,,33671.000000,8.875000,,,,,,,,,,,,,,,,,,,,
2000-02-07,,33626.000000,9.062500,,,,,,,,,,,,,,,,,,,,
2000-02-08,,33768.000000,9.062500,,,,,,,,,,,,,,,,,,,,
2000-02-09,,33960.000000,9.000000,,,,,,,,,,,,,,,,,,,,
2000-02-10,,34123.000000,9.125000,,,,,,,,,,,,,,,,,,,,
2000-02-11,,34615.000000,8.937500,,,,,,,,,,,,,,,,,,,,
